City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
369,Byron Bay,AU,-28.65,153.6167,67.71,83,7,11.34,clear sky
370,Muravlenko,RU,63.7898,74.523,3.2,96,100,18.25,overcast clouds
371,Ormara,PK,25.2088,64.6357,80.02,70,0,7.87,clear sky
372,Kolyvan,RU,55.3053,82.7391,31.62,98,100,13.29,light snow
373,Okhotsk,RU,59.3833,143.3,4.23,77,3,14.36,clear sky
374,Loiza,PR,18.4313,-65.8802,84.2,83,40,12.66,scattered clouds
375,Gusau,NG,12.1628,6.6614,78.17,25,6,8.23,clear sky
376,Tadine,NC,-21.55,167.8833,75.87,86,82,17.4,broken clouds
377,Puquio,PE,-14.7,-74.1333,63.7,21,99,17.76,overcast clouds
378,Gubkinskiy,RU,64.434,76.5026,-5.15,87,73,16.69,broken clouds
379,Dong Hoi,VN,17.4833,106.6,74.93,89,96,2.26,overcast clouds
380,Capreol,CA,46.706,-80.9225,30.54,74,100,12.66,overcast clouds
381,Holbeach,GB,52.804,0.0144,53.02,92,100,9.22,mist
382,Garowe,SO,8.4054,48.4845,74.91,70,4,15.41,clear sky
383,Tautira,PF,-17.7333,-149.15,76.21,82,100,15.66,light rain
384,Veraval,IN,20.9,70.3667,77.85,50,0,6.69,clear sky
385,Shimoda,JP,34.6667,138.95,60.1,80,32,8.46,scattered clouds
386,Luan,CH,46.3592,6.9759,50.85,65,100,4.03,overcast clouds
387,Hamilton,US,39.1834,-84.5333,34.43,89,100,9.22,snow
388,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,85,75,5.75,broken clouds
389,Asau,RO,46.4333,26.4,38.32,71,100,4.21,overcast clouds
390,Pocatello,US,42.8713,-112.4455,32.47,67,0,11.99,clear sky
391,Mount Isa,AU,-20.7333,139.5,74.97,83,87,5.75,overcast clouds
392,Houma,US,29.5958,-90.7195,59.0,79,100,6.91,overcast clouds
393,Cayenne,GF,4.9333,-52.3333,80.64,89,75,8.05,broken clouds
394,Ixtapa,MX,20.7,-105.2,81.63,57,0,9.22,clear sky
395,Pangai,TO,-19.8,-174.35,78.08,83,38,13.2,light rain
396,Mbabane,SZ,-26.3167,31.1333,63.25,94,100,3.42,light rain
397,Bali,ID,-8.5,115.0,79.77,87,100,3.11,overcast clouds
398,Souillac,MU,-20.5167,57.5167,73.78,68,40,3.44,scattered clouds
399,Kaura Namoda,NG,12.5898,6.5779,79.63,23,5,9.04,clear sky
400,Imbituba,BR,-28.24,-48.6703,72.57,79,24,13.35,few clouds
401,Gunjur,GM,13.2019,-16.7339,77.07,83,0,5.75,clear sky
402,Sarkand,KZ,45.41,79.9186,33.58,51,97,6.49,overcast clouds
403,Chicama,PE,-7.8447,-79.1469,63.14,62,42,10.4,scattered clouds
404,Talnakh,RU,69.4865,88.3972,-28.1,95,26,3.65,scattered clouds
405,Vila,PT,42.0304,-8.1588,50.88,87,89,4.29,overcast clouds
406,San Patricio,US,28.017,-97.5169,64.27,37,88,14.94,overcast clouds
407,Sasina,BA,44.7987,16.739,42.78,91,7,0.63,clear sky
408,Banjar,ID,-8.19,114.9675,77.27,85,100,3.11,overcast clouds
409,Bria,CF,6.5423,21.9863,71.22,59,0,2.08,clear sky
410,Lee,US,26.567,-81.8831,84.24,73,40,10.36,scattered clouds
411,Coos Bay,US,43.3665,-124.2179,54.23,83,0,9.22,clear sky
412,Batticaloa,LK,7.7102,81.6924,74.98,90,100,6.42,light rain
413,Karumbakkam,IN,12.6992,80.0933,80.38,89,100,3.91,overcast clouds
414,Kimbe,PG,-5.5502,150.1429,75.76,91,100,3.44,overcast clouds
415,Tsarychanka,UA,48.937,34.4786,46.8,76,4,13.18,clear sky
416,Atambua,ID,-9.1061,124.8925,75.54,86,64,1.95,broken clouds
417,Langres,FR,47.8333,5.3333,46.18,59,92,3.31,overcast clouds
418,Adre,TD,13.4667,22.2,74.89,25,0,10.6,clear sky
419,Tecolutla,MX,20.4833,-97.0167,69.66,90,100,24.9,overcast clouds
420,Pozo Colorado,PY,-23.4923,-58.7972,92.23,40,91,5.53,overcast clouds
421,Khani,GE,41.9563,42.9566,35.17,90,71,2.57,broken clouds
422,Bitung,ID,1.4451,125.1824,76.05,83,99,6.2,overcast clouds
423,Natal,BR,-5.795,-35.2094,81.25,94,75,13.8,broken clouds
424,Tera,NE,14.0078,0.7531,87.01,22,28,9.55,scattered clouds
425,Miranda,CO,3.2499,-76.2281,66.33,84,100,3.51,light rain
426,Gizo,SB,-8.103,156.8419,81.34,77,100,6.22,light rain
427,Stokmarknes,NO,68.5646,14.9108,35.58,100,75,2.3,broken clouds
428,Nanyang,CN,32.9947,112.5328,52.02,68,100,5.5,overcast clouds
429,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,76.59,79,90,3.87,overcast clouds
430,Mwaro,BI,-3.5,29.6667,57.25,98,100,1.54,heavy intensity rain
431,Sinegorye,RU,62.0788,150.477,-17.61,98,92,2.28,overcast clouds
432,San Blas,MX,21.5167,-105.2667,89.49,60,1,9.17,clear sky
433,Karla,EE,59.3723,24.9275,49.96,68,0,20.71,clear sky
434,Hare Bay,CA,48.8499,-54.0148,35.2,98,100,17.87,snow
435,Ilo,PE,-17.6394,-71.3375,70.66,64,0,9.22,clear sky
436,Sopot,PL,54.4418,18.56,55.69,97,75,5.75,broken clouds
437,Vryburg,ZA,-26.9566,24.7284,67.21,72,51,10.96,moderate rain
438,Tazovskiy,RU,67.4667,78.7,-15.66,98,19,7.34,few clouds
439,Lillooet,CA,50.6856,-121.942,39.63,88,76,1.32,broken clouds
440,Inongo,CD,-1.95,18.2667,75.29,75,95,3.38,overcast clouds
441,Conde,BR,-7.2597,-34.9075,80.06,78,75,5.75,broken clouds
442,Babushkin,RU,51.7122,105.8647,24.13,74,25,5.79,scattered clouds
443,Labuhan,ID,-6.8844,112.2051,79.88,81,100,5.17,overcast clouds
444,Mwene-Ditu,CD,-7.0,23.45,64.45,92,76,2.17,broken clouds
445,Ahipara,NZ,-35.1667,173.1667,62.08,76,98,8.75,overcast clouds
446,Okahandja,NA,-21.9833,16.9167,64.08,26,0,15.61,clear sky
447,Iberia,US,29.9502,-91.7507,57.16,58,75,20.71,broken clouds
448,Namibe,AO,-15.1961,12.1522,65.82,73,64,11.23,broken clouds
449,Dawei,MM,14.0833,98.2,74.05,83,73,3.58,broken clouds
450,Kirakira,SB,-10.4544,161.9205,80.06,82,69,4.41,broken clouds
451,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,76,40,8.05,scattered clouds
452,Bukene,TZ,-4.2333,32.8833,67.32,81,100,1.59,light rain
453,Livanatai,GR,38.7167,23.05,60.01,79,100,8.55,overcast clouds
454,Avera,US,33.194,-82.5271,76.51,63,97,10.85,overcast clouds
