City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Bathsheba,BB,2022-11-11 06:16:55,13.2167,-59.5167,79.41,83,40,20.71
59,Takoradi,GH,2022-11-11 06:16:55,4.8845,-1.7554,76.77,87,97,7.09
60,Cartagena,CO,2022-11-11 06:15:20,10.3997,-75.5144,76.62,94,40,3.44
61,Sardarpur,IN,2022-11-11 06:16:55,22.678,74.9484,83.71,28,11,8.72
62,Chuy,UY,2022-11-11 06:16:56,-33.6971,-53.4616,60.8,96,89,7.87
63,Santa Maria,BR,2022-11-11 06:14:53,-29.6842,-53.8069,62.02,80,100,6.85
64,Saskylakh,RU,2022-11-11 06:16:56,71.9167,114.0833,-28.8,100,54,2.93
65,Mataura,NZ,2022-11-11 06:16:57,-46.1927,168.8643,58.48,52,34,3.53
66,Avarua,CK,2022-11-11 06:16:57,-21.2078,-159.775,73.45,73,100,10.36
67,Hermanus,ZA,2022-11-11 06:16:57,-34.4187,19.2345,66.79,72,3,5.46
68,Esperance,AU,2022-11-11 06:16:58,-33.8667,121.9,62.44,72,90,25.55
69,Viradouro,BR,2022-11-11 06:16:58,-20.8731,-48.2969,70.61,58,44,1.83
70,Lebu,CL,2022-11-11 06:16:58,-37.6167,-73.65,53.71,96,100,6.62
71,Ilulissat,GL,2022-11-11 06:16:59,69.2167,-51.1,19.42,68,100,14.97
72,Makambako,TZ,2022-11-11 06:16:59,-8.8453,34.823,66.65,67,98,9.24
73,Castro,BR,2022-11-11 06:16:59,-24.7911,-50.0119,58.17,86,88,4.79
74,Beyneu,KZ,2022-11-11 06:17:00,45.3167,55.2,42.93,67,36,7.92
75,Zholymbet,KZ,2022-11-11 06:17:00,51.7433,71.7122,31.44,87,98,16.46
76,Port Augusta,AU,2022-11-11 06:17:01,-32.5,137.7667,78.33,40,85,12.5
77,Ginda,IN,2022-11-11 06:17:01,30.6945,78.4932,61.27,30,0,5.3
78,Fortuna,US,2022-11-11 06:17:01,40.5982,-124.1573,40.66,100,75,4.61
79,Nikolskoye,RU,2022-11-11 06:17:02,59.7035,30.7861,48.09,83,97,9.8
80,Tarnogskiy Gorodok,RU,2022-11-11 06:17:02,60.4997,43.5761,43.11,98,100,4.56
81,Geraldton,AU,2022-11-11 06:17:03,-28.7667,114.6,68.41,52,29,23.02
82,Paamiut,GL,2022-11-11 06:17:03,61.994,-49.6678,16.54,74,71,5.97
83,Longyearbyen,SJ,2022-11-11 06:17:03,78.2186,15.6401,26.44,68,20,12.66
84,Flinders,AU,2022-11-11 06:17:03,-34.5833,150.8552,69.39,73,100,7.23
85,Alice Springs,AU,2022-11-11 06:17:04,-23.7,133.8833,96.94,19,62,23.73
86,Bredasdorp,ZA,2022-11-11 06:17:05,-34.5322,20.0403,65.61,65,13,8.88
87,Ketrzyn,PL,2022-11-11 06:17:05,54.0768,21.3753,47.28,89,100,11.12
88,Nanortalik,GL,2022-11-11 06:17:05,60.1432,-45.2371,25.03,74,100,11.21
89,Rayagada,IN,2022-11-11 06:17:05,19.1667,83.4167,81.68,48,90,4.85
90,Faanui,PF,2022-11-11 06:17:06,-16.4833,-151.75,78.53,80,19,6.15
91,Itoman,JP,2022-11-11 06:17:06,26.1247,127.6694,79.18,78,75,18.41
92,Chokurdakh,RU,2022-11-11 06:18:07,70.6333,147.9167,-17.88,99,100,5.64
93,Lingao,CN,2022-11-11 06:18:07,19.9103,109.6859,79.07,75,20,13.2
94,Beidao,CN,2022-11-11 06:18:08,34.5686,105.8933,41.52,90,100,11.95
95,Mahebourg,MU,2022-11-11 06:18:08,-20.4081,57.7,81.25,65,40,8.05
96,Qaqortoq,GL,2022-11-11 06:18:08,60.7167,-46.0333,18.84,89,99,1.79
97,Victoria,HK,2022-11-11 06:18:09,22.2855,114.1577,81.32,76,33,5.99
98,Hay River,CA,2022-11-11 06:18:09,60.8156,-115.7999,4.98,78,40,6.91
99,Santo Antonio Do Ica,BR,2022-11-11 06:18:10,-3.1022,-67.9397,73.08,93,31,2.93
100,Manicore,BR,2022-11-11 06:18:11,-5.8092,-61.3003,75.54,81,82,1.48
101,Safford,US,2022-11-11 06:16:59,32.834,-109.7076,54.1,66,0,10.36
102,Katsuura,JP,2022-11-11 06:18:11,35.1333,140.3,68.92,58,11,13.04
103,Marathon,US,2022-11-11 06:18:11,44.9,-89.7668,42.33,84,100,13.8
104,Sergeyevka,KZ,2022-11-11 06:18:12,53.88,67.4158,31.17,96,98,9.84
105,Barrow,US,2022-11-11 06:18:12,71.2906,-156.7887,15.82,86,100,4.61
106,Lasa,IT,2022-11-11 06:18:13,46.6166,10.7002,43.68,47,63,3.94
107,Papara,BR,2022-11-11 06:18:14,-3.9839,-38.7273,78.69,76,38,5.26
108,Bedesa,ET,2022-11-11 06:18:15,8.9,40.7833,67.77,65,97,4.5
109,Along,IN,2022-11-11 06:18:15,28.1667,94.7667,80.31,36,0,1.48
110,Vao,NC,2022-11-11 06:18:15,-22.6667,167.4833,72.66,73,89,12.24
111,Mbouda,CM,2022-11-11 06:18:16,5.6258,10.2552,62.85,85,90,1.3
112,Kavaratti,IN,2022-11-11 06:18:16,10.5669,72.642,82.54,65,66,8.32
113,Beringovskiy,RU,2022-11-11 06:18:17,63.05,179.3167,11.39,72,2,4.81
114,Ahuimanu,US,2022-11-11 06:18:17,21.4447,-157.8378,76.75,71,20,6.91
115,Tairua,NZ,2022-11-11 06:18:18,-37.0167,175.85,64.33,98,100,14.92
116,Tuktoyaktuk,CA,2022-11-11 06:18:18,69.4541,-133.0374,19.4,93,100,5.75
117,Tarare,FR,2022-11-11 06:18:19,45.8976,4.4327,47.73,97,44,2.57
118,Tulun,RU,2022-11-11 06:18:19,54.5611,100.5792,29.7,44,89,6.06
119,Tambovka,RU,2022-11-11 06:18:19,50.0969,128.0489,29.46,98,100,5.82
120,Ankazoabo,MG,2022-11-11 06:18:20,-22.2833,44.5167,86.94,40,87,5.75
121,Kodiak,US,2022-11-11 06:18:20,57.79,-152.4072,27.91,86,0,0.0
122,Saint-Philippe,RE,2022-11-11 06:18:21,-21.3585,55.7679,81.99,68,4,7.94
123,Gat,IL,2022-11-11 06:18:21,31.61,34.7642,71.4,100,0,5.93
124,Sao Miguel Do Araguaia,BR,2022-11-11 06:18:22,-13.275,-50.1628,70.86,89,89,5.26
125,Touros,BR,2022-11-11 06:16:33,-5.1989,-35.4608,78.17,74,60,12.57
126,East London,ZA,2022-11-11 06:18:22,-33.0153,27.9116,67.14,88,20,10.36
127,Gao,ML,2022-11-11 06:18:23,16.6362,1.637,68.79,16,1,11.92
128,Alta Floresta,BR,2022-11-11 06:18:23,-9.8756,-56.0861,70.47,90,62,1.88
129,Chokwe,MZ,2022-11-11 06:18:24,-24.5333,32.9833,79.84,68,49,9.86
130,Cape Town,ZA,2022-11-11 06:15:39,-33.9258,18.4232,67.37,70,0,5.01
131,Sibolga,ID,2022-11-11 06:18:25,1.7427,98.7792,77.81,92,100,2.42
132,San Quintin,MX,2022-11-11 06:18:25,30.4833,-115.95,59.81,59,0,6.51
133,Vanimo,PG,2022-11-11 06:18:26,-2.6741,141.3028,83.05,83,99,7.36
134,Dwarka,IN,2022-11-11 06:18:26,22.2394,68.9678,84.97,41,20,11.74
135,Jijiang,CN,2022-11-11 06:19:26,29.2906,106.2542,80.49,52,51,2.26
136,Lotofaga,WS,2022-11-11 06:19:27,-13.9764,-171.8578,82.18,76,38,11.65
137,Ribeira Grande,PT,2022-11-11 06:19:27,38.5167,-28.7,57.78,77,57,1.99
138,Cayenne,GF,2022-11-11 06:15:20,4.9333,-52.3333,73.44,100,100,0.0
139,Kamaishi,JP,2022-11-11 06:19:28,39.2667,141.8833,53.56,59,5,4.38
140,Kavarna,BG,2022-11-11 06:19:28,43.4333,28.3333,50.58,92,75,6.91
141,Paris,FR,2022-11-11 06:19:12,48.8534,2.3488,49.77,91,100,10.36
142,Mizdah,LY,2022-11-11 06:19:28,31.4451,12.9801,53.82,96,1,4.38
143,Berlevag,NO,2022-11-11 06:19:29,70.8578,29.0864,33.8,80,75,12.66
144,Talnakh,RU,2022-11-11 06:19:29,69.4865,88.3972,4.21,96,100,12.37
145,Ponta Do Sol,PT,2022-11-11 06:19:30,32.6667,-17.1,66.7,81,27,2.57
146,Kahului,US,2022-11-11 06:19:30,20.8947,-156.47,76.84,80,75,5.99
147,Portland,US,2022-11-11 06:17:31,45.5234,-122.6762,43.52,88,20,8.01
148,Pisco,PE,2022-11-11 06:19:30,-13.7,-76.2167,60.85,88,1,8.05
149,Bethanien,NA,2022-11-11 06:19:31,-26.502,17.1583,66.85,31,41,1.39
150,Khatanga,RU,2022-11-11 06:19:31,71.9667,102.5,-16.82,100,97,3.09
151,Chapais,CA,2022-11-11 06:19:32,49.7834,-74.8492,28.18,88,100,5.32
152,Vaini,TO,2022-11-11 06:19:32,-21.2,-175.2,78.96,94,75,9.22
153,Vardo,NO,2022-11-11 06:19:32,70.3705,31.1107,35.58,87,100,20.71
154,Suratgarh,IN,2022-11-11 06:19:33,29.3167,73.9,79.36,30,0,1.59
155,Minden,DE,2022-11-11 06:16:36,52.2833,8.9167,50.47,74,75,8.05
156,Hokitika,NZ,2022-11-11 06:19:33,-42.7167,170.9667,61.11,67,98,4.7
157,Gushikawa,JP,2022-11-11 06:19:34,26.3544,127.8686,78.39,78,75,18.41
158,Xuchang,CN,2022-11-11 06:19:34,34.0167,113.8167,73.6,56,53,7.49
159,Saint Anthony,US,2022-11-11 06:19:35,45.0205,-93.218,27.25,72,100,16.11
160,Riyadh,SA,2022-11-11 06:19:35,24.6877,46.7219,84.34,15,79,17.74
161,Bryan,US,2022-11-11 06:15:14,30.6744,-96.37,73.08,84,100,6.91
162,Half Moon Bay,US,2022-11-11 06:19:34,37.4636,-122.4286,52.32,82,0,6.91
163,Stokmarknes,NO,2022-11-11 06:19:36,68.5646,14.9108,39.18,87,75,8.05
164,Kobe,JP,2022-11-11 06:18:46,34.6913,135.183,72.36,66,20,6.91
165,Anandnagar,IN,2022-11-11 06:19:38,27.1,83.2833,80.37,42,0,7.38
166,Upernavik,GL,2022-11-11 06:19:38,72.7868,-56.1549,11.19,83,100,3.83
167,Yulara,AU,2022-11-11 06:19:38,-25.2406,130.9889,98.44,18,40,23.02
168,Erin,US,2022-11-11 06:19:39,36.3184,-87.6947,67.1,56,100,4.0
169,Tiksi,RU,2022-11-11 06:19:39,71.6872,128.8694,-13.25,100,91,2.55
170,Sao Domingos Do Maranhao,BR,2022-11-11 06:19:39,-5.5758,-44.3853,72.5,89,56,1.39
171,Kampot,KH,2022-11-11 06:19:40,10.6167,104.1833,89.65,63,100,9.89
172,Mar Del Plata,AR,2022-11-11 06:19:40,-38.0023,-57.5575,61.88,93,47,3.0
173,Bandarbeyla,SO,2022-11-11 06:19:40,9.4942,50.8122,82.47,60,46,17.47
174,Komsomolskiy,UZ,2022-11-11 06:19:41,40.4272,71.7189,47.12,57,97,2.3
175,Monrovia,LR,2022-11-11 06:19:41,6.3005,-10.7969,74.97,81,85,6.15
176,Palmer,US,2022-11-11 06:19:42,42.1584,-72.3287,57.61,81,0,5.75
177,Dikson,RU,2022-11-11 06:19:43,73.5069,80.5464,-4.94,90,94,17.36
178,Zaranj,AF,2022-11-11 06:19:44,30.9667,61.8833,66.16,26,12,7.7
179,Aswan,EG,2022-11-11 06:19:44,24.0934,32.907,69.57,38,0,10.89
180,Denpasar,ID,2022-11-11 06:19:45,-8.65,115.2167,87.46,74,40,12.66
181,Kholtoson,RU,2022-11-11 06:19:46,50.2981,103.3097,24.62,65,67,3.56
182,Chiredzi,ZW,2022-11-11 06:19:46,-21.05,31.6667,73.38,81,100,9.15
183,Pyaozerskiy,RU,2022-11-11 06:19:46,65.8333,31.1667,34.95,99,99,7.99
184,Hamada,JP,2022-11-11 06:19:47,34.8833,132.0833,65.12,63,8,7.54
185,Puruliya,IN,2022-11-11 06:20:47,23.3333,86.3667,81.63,34,1,5.91
186,Dire,ML,2022-11-11 06:20:48,12.2833,-10.9667,64.89,33,28,1.52
187,Lompoc,US,2022-11-11 06:20:48,34.6391,-120.4579,52.84,90,0,5.75
188,Torbay,CA,2022-11-11 06:20:49,47.6666,-52.7314,41.76,91,100,4.61
189,Lewiston,US,2022-11-11 06:20:49,44.1003,-70.2148,55.42,65,0,4.61
190,Mount Gambier,AU,2022-11-11 06:20:49,-37.8333,140.7667,61.32,74,98,9.69
191,Yerbogachen,RU,2022-11-11 06:20:50,61.2767,108.0108,10.26,80,72,7.74
192,Chara,RU,2022-11-11 06:20:50,56.9064,118.2631,16.95,76,100,1.43
